path,Kontras45,Dissimilarity45,Homogenitas45,Entropi45,ASM45,Energy45,Correlation45
01_f1d022103_4_3.jpg,480422543.2703999,1035597434,355079.1966064199,-85279699.6640625,7765068,7765068,0.7314829355803296
01_f1d022120_4_1.jpg,432261934.69812226,1217047070,329049.867684941,-91097951.40625,6066289,6066289,0.8566153389303535
01_f1d022120_4_2.jpg,361720530.19728893,587258557,289997.2259076687,-53683271.359375,7801516,7801516,0.606336690587248
01_f1d022120_4_3.jpg,284090292.25795555,975847507,326817.83451434254,-76452670.0,7523984,7523984,0.8947282402284814
01_f1d022149_4_1.jpg,447238302.7855999,1189377586,333631.04638607247,-90897328.234375,7846274,7846274,0.7968669176272416
01_f1d022149_4_2.jpg,258163758.98448884,716165626,288169.8335793924,-58237355.99609375,8687092,8687092,0.6962563440025237
01_F1D022044_5_3.jpg,326911708.23960006,886120014,318639.19708447315,-70220264.359375,8260992,8260992,0.7214535096024757
01_F1D022069_5_1.jpg,345062533.5555556,836536916,248201.56522793914,-61985561.2578125,8133958,8133958,0.6773147642177355
01_F1D022069_5_2.jpg,548125732.6330556,752842543,372371.31186980626,-69826457.01171875,8500875,8500875,0.6143545843312733
01_F1D022069_5_3.jpg,438697793.31278884,1229847315,319902.4037271038,-91847894.78125,6730155,6730155,0.9003336518521635
01_f1d022103_5_1.jpg,545812005.8398999,1321519920,380588.4546246935,-103496269.62109375,8577017,8577017,0.8537194525848897
01_f1d022103_5_2.jpg,449984815.50115556,707495002,325363.3699798346,-61013034.5390625,8222026,8222026,0.5894334372277823
01_f1d022103_5_3.jpg,490318876.8831556,1022302606,356733.39189768705,-85150071.8359375,7846762,7846762,0.717748706964469
01_f1d022120_5_1.jpg,416578423.62265563,1187570659,355035.04238094046,-90951838.875,5984047,5984047,0.9073834077519378
01_f1d022120_5_2.jpg,377104528.6775,590901086,279238.6431918153,-53115199.46484375,8144373,8144373,0.7478788564713605
01_f1d022120_5_3.jpg,279458641.35359997,972433307,318198.4739069257,-75822789.765625,7226530,7226530,0.9100246001404385
01_f1d022149_5_1.jpg,471244043.74999994,1240767324,356814.84635099705,-97056706.0,7255544,7255544,0.8520884244067435
01_f1d022149_5_2.jpg,271431406.61222225,733418027,288509.03759392904,-59839801.57421875,8653720,8653720,0.6794080534522727
01_f1d022149_5_3.jpg,538938070.3804001,342547553,235459.59749634968,-39793681.5078125,8363550,8363550,0.6361621663476175
01_F1D022154_5_1.jpg,434803761.5988889,709011041,312516.58100019424,-59334455.3515625,8079020,8079020,0.5099305185023392
01_F1D022154_5_2.jpg,477585115.0324888,843569995,275629.1503495185,-67483155.34375,7961018,7961018,0.6819398423050381
